Language_ID,Feature_ID,IPA,Value,BORROWED
Ossetic_Iron,breast,dzidzi,111,?
Parachi,breast,sina,108,?
Shughni,breast,sina,108,?
Taleshi,breast,pɨʃton,106,?
Wakhi,breast,sina,108,?
Yaghnobi,breast,vuna,102,?
Zazaki,breast,sene,108,?
SEK,breast,sing,108,?
SK,breast,sɨng,108,?
NK,breast,sɨng,108,?
SWK,breast,sing,108,?
NWK,breast,sɨng,108,?
Zebaki,breast,bar,109,?
Ishkashimi,breast,peʃbar,109,?
Pashto,breast,bar,109,?
Bakhtiyari,burn,sohden,112,?
Balochi,burn,balagʔ,113,?
Gilaki,burn,soxt,112,?
Judeo-Tati,burn,suxde,112,?
Kumzari,burn,haraqa,115,?
Modern_Persian,burn,suxtan,112,?
Ormuri,burn,bras,117,?
Ossetic_Iron,burn,sudzɨn,112,?
Parachi,burn,tʰew,118,?
Shughni,burn,suzax,112,?
Taleshi,burn,syte,112,?
Wakhi,burn,tʰau,118,?
Waziri,burn,baledel,113,?
Yaghnobi,burn,suʧ,112,?
Zazaki,burn,veʃajiʃ,119,?
SEK,burn,sotɨn,112,?
SK,burn,ʃɛwɨtandɨn,116,?
NK,burn,ʃɛwɨtandɨn,116,?
SWK,burn,ʃɛwɨtandɨn,116,?
NWK,burn,ʃɛwɨtɔndɨn,116,?
Ishkashimi,burn,təv,114,?
Pashto,burn,baledəl,113,?
Bakhtiyari,carry,borden,121,?
Balochi,carry,bar,121,?
Gilaki,carry,bərdən,121,?
Judeo-Tati,carry,berde,121,?
Kumzari,carry,ber,121,?
Modern_Persian,carry,bordan,122,?
Ossetic_Iron,carry,xæsɨn,120,?
Parachi,carry,bar,121,?
Shughni,carry,jos,123,?
Taleshi,carry,bardə,121,?
Yaghnobi,carry,var,121,?
Zazaki,carry,bəno,124,?
SEK,carry,keʃan,120,?
SK,carry,kɨʃandɨn,120,?
NK,carry,kɨʃandɨn,120,?
SWK,carry,kɨʃandɨn,120,?
NWK,carry,kɨʃandɨn,120,?
Pashto,carry,kaʃawel,120,?
Bakhtiyari,child,baʧe,131,?
Balochi,child,ʧux,126,?
Gilaki,child,zahak,127,?
Judeo-Tati,child,ʔail,129,1
Kumzari,child,rok,127,?
Modern_Persian,child,baʧe,131,?
Ormuri,child,woɣkaj,133,?
Ossetic_Iron,child,sɨvælon,134,?
Parachi,child,baʔi,125,1
Shughni,child,baʧa,131,?
Taleshi,child,xʔrdan,136,?
Wakhi,child,za,130,?
Waziri,child,workai,133,?
Yaghnobi,child,pulla,138,1
Zazaki,child,qeʧek,139,?
SEK,child,bɨʧyk,131,?
SK,child,zaɹok,130,?
NK,child,zaru,130,?
SWK,child,zar,130,?
NWK,child,del,132,?
Zebaki,child,kut,139,?
Ishkashimi,child,zaman,128,?
Pashto,child,ʧurʧurak,135,?
Bakhtiyari,come,oʋajden,144,?
Balochi,come,agʔ,141,?
Gilaki,come,amon,142,?
Judeo-Tati,come,veromore,144,?
Kumzari,come,hamed,142,?
Modern_Persian,come,amadan,142,?
Ormuri,come,dzok,145,?
Ossetic_Iron,come,tsæuɨn,146,?
Parachi,come,ʒe,147,?
Shughni,come,jad,143,?
Taleshi,come,ma,149,?
Wakhi,come,wezi,150,?
Waziri,come,rotlel,148,?
Yaghnobi,come,vow,151,?
Zazaki,come,aməj,142,?
SEK,come,hatɨn,140,?
SK,come,hatɨn,140,?
NK,come,hatɨn,140,?
SWK,come,hatɨn,140,?
NWK,come,hɔtɨn,140,?
Zebaki,come,is,153,?
Ishkashimi,come,agad,143,?
Pashto,come,ratləl,148,?
Bakhtiyari,crush/grind,telniden,154,?
Balochi,crush/grind,droʃag,155,?
Gilaki,crush/grind,zir,156,?
Judeo-Tati,crush/grind,xjel,158,?
Kumzari,crush/grind,bumir,159,?
Modern_Persian,crush/grind,ɣwurd,160,?
Ormuri,crush/grind,nɔʃra,162,?
Ossetic_Iron,crush/grind,læmarɨn,163,?
Parachi,crush/grind,kut,164,?
Shughni,crush/grind,jan,166,?
Taleshi,crush/grind,hope,167,?
Wakhi,crush/grind,ʂiɣ,168,?
Yaghnobi,crush/grind,ʧuk,169,?
Zazaki,crush/grind,kwatiʃ,170,?
SEK,crush/grind,pɛlʧɨqandɨn,161,?
SK,crush/grind,pɨrʧɨqandɨn,161,?
NK,crush/grind,pɛlʧɨqandɨn,161,?
SWK,crush/grind,pɛlʧɨqandɨn,161,?
NWK,crush/grind,penandɨn,161,?
Ishkashimi,crush/grind,ʃak,157,?
Pashto,crush/grind,majdawəl,165,?
Bakhtiyari,cry/weep,gerejʋesten,171,?
Balochi,cry/weep,grewag,171,?
Gilaki,cry/weep,gərjə,171,?
Judeo-Tati,cry/weep,girisde,171,?
Kumzari,cry/weep,girja,171,?
Modern_Persian,cry/weep,giristan,171,?
Ormuri,cry/weep,ʃu,173,?
Ossetic_Iron,cry/weep,kæwɨn,171,?
Parachi,cry/weep,nara,174,?
Shughni,cry/weep,naw,176,?
Taleshi,cry/weep,bəme,177,?
Yaghnobi,cry/weep,roj,178,?
Zazaki,cry/weep,beɾmajiʃ,179,?
SEK,cry/weep,gɨrɨjan,171,?
SK,cry/weep,gɨri,171,?
NK,cry/weep,gɨrin,171,?
SWK,cry/weep,gɨri,171,?
NWK,cry/weep,gɨrin,171,?
Pashto,cry/weep,ʒarəl,175,?
Bakhtiyari,do,kerden,180,?
Balochi,do,kanag,180,?
Gilaki,do,kudən,180,?
Judeo-Tati,do,soxde,181,?
Kumzari,do,kin,180,?
Modern_Persian,do,kard,180,?
Ormuri,do,kajek,180,?
Ossetic_Iron,do,kænɨn,180,?
Parachi,do,kan,180,?
Shughni,do,ʧidow,180,?
Taleshi,do,karde,180,?
Wakhi,do,car,180,?
Yaghnobi,do,kun,180,?
Zazaki,do,kəɾdɨʃ,180,?
SEK,do,kɨrɨn,180,?
SK,do,kɨrɨn,180,?
NK,do,kɨrɨn,180,?
SWK,do,kɨrɨn,180,?
NWK,do,kɨrɨn,180,?
Ishkashimi,do,kun,180,?
Zebaki,do,kanak,180,?
Pashto,do,kawəl,180,?
Bakhtiyari,dog,saʔ,185,?
Balochi,dog,sag,185,?
Gilaki,dog,seg,185,?
Judeo-Tati,dog,seg,185,?
