DOCULECT;CONCEPT;IPA;VARIANTS
Taleshi;blow;vaʃte;pu 
Wakhi;blow;kulumut;mest
Waziri;blow;ʔaledel;
Yaghnobi;blow;puf;
SEK ;blow;pɨf;
SK;blow;pɛqandɨn;
NK;blow;pɨf;
SWK;blow;pɨfe;
NWK;blow;puf;
Bakhtiyari;bone;hast;ostoxoʔn
Balochi;bone;had;
Gilaki;bone;xaʔ;
Judeo-Tati;bone;osdqu;
Kumzari;bone;xar;
Luri;bone;ʔossoxun;
Modern_Persian;bone;ostoxan;
Ormuri;bone;stoʔan;
Ossetic_Iron;bone;stæg;
Parachi;bone;hadd;
Shughni;bone;sitxun;
Taleshi;bone;asə;
Wakhi;bone;jusc;ustuxon
Waziri;bone;hadikai;
Yaghnobi;bone;sitak;
Zazaki;bone;este;
SEK ;bone;hestɨk;
SK;bone;hæstu;
NK;bone;hɛsti;
SWK;bone;hɛstɨ;
NWK;bone;hasti;
Bakhtiyari;breast;pestoʔn;
Balochi;breast;delband;gwar
Gilaki;breast;sinʔ;
Judeo-Tati;breast;sine;
Kumzari;breast;sino;
Luri;breast;ʔir;
Modern_Persian;breast;pistan;
Ormuri;breast;tsik;
Ossetic_Iron;breast;dzidzi;
Parachi;breast;sina;
Shughni;breast;sina;biʃ
Taleshi;breast;pɨʃton;sinə
Wakhi;breast;sina;bap
Yaghnobi;breast;vuna;cic
Zazaki;breast;sene;virar
SEK ;breast;sing;
SK;breast;sɨng;
NK;breast;sɨng;
SWK;breast;sing;
NWK;breast;sɨng;
Bakhtiyari;burn;sohden;
Balochi;burn;balagʔ;
Gilaki;burn;soxt;
Judeo-Tati;burn;suxde;
Kumzari;burn;haraqa;
Luri;burn;sota;
Modern_Persian;burn;suxtan;
Ormuri;burn;bras;
Ossetic_Iron;burn;sudzɨn;
Parachi;burn;tʔew;
Shughni;burn;suzax;
Taleshi;burn;syte;
Wakhi;burn;tʔau;
Waziri;burn;baledel;swel
Yaghnobi;burn;suʔ;
Zazaki;burn;veʔajiʔ;
SEK ;burn;sotɨn;
SK;burn;ʃɛwɨtandɨn;
NK;burn;ʃɛwɨtandɨn;
SWK;burn;ʃɛwɨtandɨn;
NWK;burn;ʃɛwɨtɔndɨn;
Bakhtiyari;carry;kerden;menʕe beɢal borden
Balochi;carry;bar;barag
Gilaki;carry;bərdən;rənʒ
Judeo-Tati;carry;berde;owurde
Kumzari;carry;ber;
Modern_Persian;carry;haml;
Ossetic_Iron;carry;xæsɨn;
Parachi;carry;bar;
Shughni;carry;jos;jod
